arrival_month,arrival_is_weekend,n_reservas,n_canceladas,anticipacion_promedio,monto_promedio,duracion_promedio
1,0,107,68,194.8785046728972,3817.617663551402,60.44859813084112
1,1,41,31,233.4878048780488,2212.6068292682926,37.8780487804878
2,0,65,13,64.64615384615385,5059.2167692307685,86.33846153846154
2,1,32,5,51.625,6652.061875,98.125
3,0,155,19,6.819354838709677,4404.049354838709,69.0
3,1,76,10,4.2631578947368425,3843.0238157894737,64.55263157894737
4,0,13818,6010,55.73548994065711,408.0390099869735,2.7840497901288175
4,1,4868,1991,55.00164338537387,323.8956963845522,2.205217748562038
5,0,31383,14990,75.72013510499315,373.9971099002645,2.2586113500939997
5,1,13095,6139,76.56357388316151,311.07500343642613,1.9604429171439481
6,0,7622,7622,113.9235108895303,571.5324061926003,2.8154027814221987
6,1,2491,2491,115.42834203131272,537.5200401445203,2.8073063026896827
7,0,4920,4920,147.68963414634146,574.6792235772357,2.776219512195122
7,1,1433,1433,146.66085136078158,547.5310397766923,2.866713189113747
8,0,2752,2752,182.33175872093022,474.47714026162794,2.506904069767442
8,1,1292,1292,180.98839009287926,478.09236068111454,2.6888544891640866
9,0,2039,2039,213.02059833251593,468.7928249141736,2.525747915644924
9,1,755,755,212.5615894039735,374.32185430463574,2.4119205298013244
10,0,1459,1459,243.85195339273474,530.4250376970527,2.5586017820424947
10,1,461,461,241.68329718004338,419.90223427331887,2.511930585683297
11,0,524,524,274.97137404580155,505.958072519084,2.769083969465649
11,1,263,263,274.72243346007605,437.35361216730035,2.6844106463878328
12,0,365,365,294.43013698630136,609.0706301369863,3.317808219178082
12,1,150,150,298.62666666666667,621.5086,3.3266666666666667
